"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\GroupAlbumInside.js", "JavaScript", 421, 0, 0, 1, 27, 449
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\HistoryBox.js", "JavaScript", 402, 0, 0, 3, 27, 432
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\assets\closeIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\assets\descriptionIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\assets\editIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\assets\historyIcon.svg", "XML", 0, 10, 0, 1, 0, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\assets\localizationIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\BasicGroupInfo.js", "JavaScript", 341, 0, 0, 1, 18, 360
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\ChangeOwner.js", "JavaScript", 125, 0, 0, 1, 10, 136
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\GroupCreatorPage.js", "JavaScript", 552, 0, 0, 4, 31, 587
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\GroupPhoto.js", "JavaScript", 257, 0, 0, 1, 24, 282
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\Members.js", "JavaScript", 319, 0, 0, 1, 24, 344
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\addIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\closeIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\crownIcon.svg", "XML", 0, 7, 0, 0, 1, 8
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\deleteGroupIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\deleteWhiteIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\imageNotFoundIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\infoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\membersIcon.svg", "XML", 0, 20, 0, 0, 1, 21
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\photoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\AddComment.js", "JavaScript", 202, 0, 0, 8, 19, 229
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\Carousel.js", "JavaScript", 339, 0, 0, 14, 32, 385
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\PhotoSection.js", "JavaScript", 163, 0, 0, 0, 11, 174
